1;https://productcenter.ru/producers/22334/ooo-palanzh;Российский завод полимерных труб Паланж;Пресс-фитинг угольник Palanzh (Паланж);Пресс-фитинг тройник Palanzh (Паланж);Пресс-фитинг прямой Palanzh (Паланж);Труба из термостойкого полиэтилена Pert;Металлопластиковая труба Pex-al-Pex Palanzh;Труба из сшитого полиэтилена Pex Palanzh;Металлопластиковая труба Pert-al-Pert Palanzh;0;0;0
73;https://productcenter.ru/producers/28844/zavod-avtogrieidierov-po-ural;Завод автогрейдеров ПО «УРАЛ»;Ступица 62.00.300 для автогрейдера ДЗ-98;Шестерня 10.05.052 для автогрейдера ДЗ-98;Автогрейдер ДЗ-98Т.001 с гидроуправлением;Автогрейдер ДЗ-98Т.001 с рыхлителем;Автогрейдер ДЗ-98Т.001 в стандартной комплектации;0;0;0;0;0
74;https://productcenter.ru/producers/27440/ooo-aravana;ООО «Аравана» - муфельные электропечи производство, г.Трехгорный;Промышленные электропечи от 100 литров;Муфельная печь для закалки металла от 38 литров;Лабораторная электропечь от 5 литров;0;0;0;0;0;0;0
75;https://productcenter.ru/producers/11780/iuzhno-uralskaia-mashinostroitielnaia-kompaniia;«Южно-Уральская машиностроительная компания»;Автогрейдер А-98;Автогрейдер А-98М;Автогрейдер ДЗ-98;0;0;0;0;0;0;0
76;https://productcenter.ru/producers/8131/ooo-viktoriia;Производитель мочалок «Виктория»;Мочалки трехцветные в ассортименте;Мочалки двухцветные в ассортименте;Мочалка банно-массажная;0;0;0;0;0;0;0
77;https://productcenter.ru/producers/7516/ooo-komfort-tm-piknik;Бумажный комбинат «Комфорт»;Бумажные полотенца «Zebra»;Туалетная бумага ароматизированная;Бумажная основа для туалетной бумаги;0;0;0;0;0;0;0
78;https://productcenter.ru/producers/6633/oao-chiebarkulskii-molochnyi-zavod;ОАО Чебаркульский молочный завод;Творог зерненый 4% жирности;Молоко питьевое пастеризованное;Биойогурты натуральные и с фруктово-ягодными добавками;0;0;0;0;0;0;0
79;https://productcenter.ru/producers/6589/kompaniia-air;Компания «АиР»;Сувенирные зажигалки с позолотой;Ювелирные настольные наборы из металла;Наборы под алкоголь из металла с позолотой;0;0;0;0;0;0;0
80;https://productcenter.ru/producers/6532/ooo-porfirit;ООО «Порфирит»;Тротуарная плитка «катушка» и «шестигранник»;Строительный щебень фракции 0-5;Бутовый камень фракций 90×150;0;0;0;0;0;0;0
81;https://productcenter.ru/producers/6511/ooo-chzbkh-vizir;ООО ЧЗБХ «Визирь»;Автомобильные шампуни для бесконтактной и ручной мойки;Лакокрасочная продукция для отделки и ремонта;Моющие средства для кухни ЧЗБХ «Визирь»;0;0;0;0;0;0;0
82;https://productcenter.ru/producers/6228/fabrika-pakietov-polimir;Фабрика пакетов «Полимир»;Подарочные пакеты с петлевой ручкой;Пакет с прорубной ручкой с изображением;Пакет-майка с рисунком;0;0;0;0;0;0;0
83;https://productcenter.ru/producers/5118/ooo-ravis-ptitsiefabrika-sosnovskaia;ООО «Равис – птицефабрика Сосновская»;Запечённые продукты из мяса птицы (вакуум);Блинчики с начинкой на подложке;Фарш «Домашний» для люля-кебаб;0;0;0;0;0;0;0
84;https://productcenter.ru/producers/5046/ooo-td-elprom;ООО ТД «ЭЛпром»;Промышленный светодиодный светильник СПС-3600-Арктик;Уличные светодиодные светильники СКУ;Светодиодный светильник офисной серии СПС-3000/ СПС-3600;0;0;0;0;0;0;0
85;https://productcenter.ru/producers/4289/ooo-varnienskii-kombinat-khlieboproduktov;ООО «Варненский комбинат хлебопродуктов»;Мюсли ТМ “Царь”;Каша в пакетиках ТМ “Царь”;Макаронные изделия ТМ “Царь”;0;0;0;0;0;0;0
86;https://productcenter.ru/producers/478/ooo-spietsburmash;ООО «СпецБурМаш«, г.Озерск;Установка разведочного бурения УРБ 2а2 на шасси УРАЛ-4320;Установка разведочного бурения УРБ 2а2 на шасси ЗИЛ-131 (АМУР-5311300);Установка разведочного бурения УРБ 4т на шасси трелевочного трактора ТТ-4м, ТСН-4;Установка разведочного бурения УРБ 2нт на трелевочном тракторе ТТ-4м, ТСН-4;Установка разведочного бурения УРБ 2д3 на шасси КАМАЗ-43114, 43118;Установка разведочного бурения УРБ 2д3 на шасси УРАЛ-4320;Установка разведочного бурения УРБ 2д3 на шасси ЗИЛ-131 (АМУР-5311300);Установка разведочного бурения УРБ 2а2д на шасси КАМАЗ-43114, 43118;Установка разведочного бурения УРБ 2а2 на санях;Установка разведочного бурения УРБ 2а2 на шасси МТЛБ
87;https://productcenter.ru/producers/21808/ooo-tk-dar;Производитель масложировой продукции «ДАР»;Масло сливочное «ОМЛЕТОVО»;Куриные копчености «ОМЛЕТОВО»;0;0;0;0;0;0;0;0
88;https://productcenter.ru/producers/21287/ooo-pkf-eniergotsientr;ООО ПКФ «ЭнергоЦентр», г.Челябинск;КТПН — комплектные трансформаторные подстанции;БКТП — бетонная трансформаторная подстанция;0;0;0;0;0;0;0;0
89;https://productcenter.ru/producers/15075/miasopierierabatyvaiushchaia-kompaniia-romkor;Мясоперерабатывающая компания «Ромкор»;Шашлык в упаковке;Ветчина в батонах;Колбасы варёные в батонах;0;0;0;0;0;0;0
90;https://productcenter.ru/producers/6654/ooo-tsierieal;ООО «Цереал»;Льняные овощные хлебцы;Миндальная паста;Концентрат белка ЧИА;Ореховые и фруктовые пасты;Льняной десерт;0;0;0;0;0
91;https://productcenter.ru/producers/4521/shvieinoie-priedpriiatiie-el-kristi;Швейное предприятие «Эль-Кристи»;Детские платья;Нарядный костюм для мальчика;Красивые нарядные платья для девочек;0;0;0;0;0;0;0
92;https://productcenter.ru/producers/28700/ultra-ooo;«Ультра» ГК;стеллаж Everest Полочный;Корзины из металлической сетки Streck;Декоративные стеновые панели «MILLANO»;0;0;0;0;0;0;0
93;https://productcenter.ru/producers/24563/papa-slon;Папа Слон;Жидкие средства для стирки;0;0;0;0;0;0;0;0;0
94;https://productcenter.ru/producers/23780/ld;LD;кран латунный LD PRIDE;0;0;0;0;0;0;0;0;0
95;https://productcenter.ru/producers/13903/chieliabinskii-mashinostroitielnyi-zavod;«Челябинский машиностроительный завод»;Автоцистерны для коммунальной спецтехники;Автоцистерны для технических жидкостей;Автоцистерны для пищевых жидкостей;0;0;0;0;0;0;0
96;https://productcenter.ru/producers/6835/chieliabinskii-iuvielirnyi-zavod;Челябинский Ювелирный Завод;Яшма овал кабошон 14*8*4,5 мм;Малахит овал кабошон 18*13*5 мм;Браслеты из серебра 925-й пробы;0;0;0;0;0;0;0
97;https://productcenter.ru/producers/6186/ooo-viendmash;ООО ВЕНДМАШ;Пресс-печи для выпекания заготовок из теста для пиццы;0;0;0;0;0;0;0;0;0
98;https://productcenter.ru/producers/5024/miasskaia-shvieinaia-fabrika;Миасская Швейная Фабрика;Школьная форма для девочек;Патрульный тактический ранец;0;0;0;0;0;0;0;0
99;https://productcenter.ru/producers/232/kafie-in-kafie-intiernieshnl-ooo;Производитель готовых блюд ТМ «ГЛАВСУП»;ТМ Главсуп «Лагман с говядиной» 250г;ТМ Главсуп Солянка грибная;ТМ Главсуп Суп сырный с грибамм;ТМ Главсуп Лапша с курицей;ТМ Главсуп «Гороховый с копченостями»;ТМ Главсуп «Солянка по-домашнему»;ТМ Главсуп «Харчо с курицей»;ТМ Главсуп Борщ с курицей;0;0
100;https://productcenter.ru/producers/2966/angora-ip-gintier-v-o;АНГОРА, г.Копейск;Лопата для снега *5 (Ангора);Кашпо ВИОЛЕТ КЛАССИК 0,5л с поддоном;Таз 4л Кливия *20 (Ангора);Горшок для рассады 0,25л (7х7х8см) квадратный;Набор для рассады (14 горшков) полипропиленовый 40 (Ангора);Стакан 0,4л зеленый 60 (Ангора);Стульчик детский голубой 5 (Ангора);Горшок детский розовый 5 (Ангора);Ведро 5л; 7л; 10л; Примула голубое, красное, зеленое, оранжевое 10 (Ангора);Ванночка детская розовая (Ангора)
101;https://productcenter.ru/producers/28530/ooo-mk-ronai;ООО МК РОНАИ;Накладной светильник Soffitto: OV-32W-485/55-IP44;Soffitto: OV-40W-1196/65/55-IP65;Soffitto: OV-52W-1547/60/56-IP65;Светодиодная панель Soffitto: SQ-40W-595/595/30;Светильник светодиодный Strada: E-120W-5500K-1;0;0;0;0;0
102;https://productcenter.ru/producers/28448/stanko-dom;Станко-Дом, г.Челябинск;Листогиб ручной ЛР-1300;Автоматический станок для водосточного колена;Вальцовочный станок Вальцы трехвалковые;0;0;0;0;0;0;0
103;https://productcenter.ru/producers/28320/izgotovlieniie-tsvietochnykh-toppierov-eko-upakovki;Изделия из фанеры выполненные на лазерном станке., г.Челябинск;Именные новогодние шарики из фанеры.;Топперы для цветов.;Подарочные коробки с брендингом.;0;0;0;0;0;0;0
104;https://productcenter.ru/producers/25723/ooo-ligas-kf-diemidovskaia-zabava;ООО Лигас (КФ Демидовская забава);Галеты (изделия хлебобулочные сухие);0;0;0;0;0;0;0;0;0
105;https://productcenter.ru/producers/24620/mamin-ia;Мамин Я, г.Челябинск;многоразовые подгузники для плавания;0;0;0;0;0;0;0;0;0
106;https://productcenter.ru/producers/23185/ooo-drakkar;ООО «Драккар», г.Челябинск;Гибкая упаковка;0;0;0;0;0;0;0;0;0
107;https://productcenter.ru/producers/23053/ooo-bittier;ООО «БИТТЕР»;Полуприцепы;0;0;0;0;0;0;0;0;0
